model,macro_f1_de,macro_f1_en,weighted_f1_de,weighted_f1_en,accuracy_de,accuracy_en,qwk_de,qwk_en
Baseline MBart,"0,807","0,534","0,803","0,730","0,801","0,760",-,-
TC + DT full,"0,572","0,603","0,660","0,688","0,668","0,691","0,554","0,367"
SP + DT full,"0,593","0,538","0,646","0,697","0,661","0,704","0,493","0,407"
TC + S full,"0,160","0,232","0,122","0,229","0,160","0,229","-0,135","0,056"
SP + S full,"0,160","0,257","0,122","0,267","0,214","0,259","-0,135","0,099"
TC + DT monolingual,"0,366","0,516","0,440","0,703","0,435","0,709","0,243","0,451"
SP + DT monolingual,"0,546","0,573","0,595","0,684","0,605","0,685","0,405","0,358"
TC + S monolingual,"0,158","0,231","0,120","0,237","0,214","0,227","-0,136","0,049"
SP + S monolingual,"0,150","0,240","0,109","0,256","0,207","0,237","-0,175","0,083"
TC + DT small,"0,304","0,543","0,377","0,695","0,417","0,704","0,010","0,394"
SP + DT small,"0,570","0,563","0,630","0,714","0,653","0,712","0,468","0,470"
TC + S small,"0,155","0,221","0,118","0,213","0,210","0,216","-0,087","0,063"
SP + S small,"0,173","0,256","0,137","0,269","0,221","0,253","-0,086","0,102"